Administrative Supplement,A request for (or the award of) additional funds during a current project period to provide for an increase in costs due to unforeseen circumstances. All additional costs must be within the scope of the peer reviewed and approved project.
ADP,Automated Data Processing
Advance Payment,"A payment that a Federal awarding agency or pass through entity makes by any appropriate payment mechanism, including a predetermined payment schedule, before the non-Federal entity disburses the funds for program purposes."
Advisory Council/Board,"See Council/Board, Advisory."
Affiliate ,"This term has the same meaning as set forth in 13 CFR part 121 Small Business Size Regulations, 121.103, How does SBA determine affliliation Further information about SBA s affiliation rules and a guide on affiliation is available at http://www.SBIR.gov and http://www.SBA.gov/size."
AG,National Institute on Aging
Agency Data Integration Application (Manage Agency Data),"Allows Operating Divisions (OpDivs) to manage data in the IMPAC II system, including the ability to add, modify and retrieve Common Accounting Numbers (CAN) and Award Authorization data."
AI,National Institute of Allergy and Infectious Diseases
AIDS-Related,"Includes: (1) projects relating to the etiology, epidemiology, natural history, diagnosis, treatment, or prevention of AIDS; (2) various sequelae specifically associated with the syndrome; and (3) preparation and screening of anti-AIDS agents as well as vaccine development, including both preclinical and clinical studies. Not all applications examining various influences on T-lymphocytes or retroviruses will be appropriate for the expedited AIDS review process. Applications only indirectly related to AIDS will be evaluated by established Scientific Review Groups (SRGs) appropriate to the scientific discipline during regular NIH review cycles and should not be submitted in response to the expedited AIDS receipt dates. Applicants are urged to take note of the yearly NIH Plan for HIV-Related Research and indicate how their application addresses the NIH priorities set forth in that Plan. The Plan can be found on the NIH Office of AIDS Research homepage"
Alien Registration - Card,See Permanent Resident Card.
Allocation,"The process of assigning a cost, or a group of costs, to one or more cost objective(s), in reasonable proportion to the benefit provided or other equitable relationship. The process may entail assigning a cost(s) directly to a final cost objective or through one or more intermediate cost objectives. For additional information, see the NIH Grants Policy Statement: 7. Cost Considerations 7.2 The Cost Principles"
Allowable Cost,"A cost incurred by a recipient that is: (1) reasonable for the performance of the award; (2) allocable; (3) in conformance with any limitations or exclusions set forth in the Federal cost principles applicable to the organization incurring the cost or in the NoA as to the type or amount of cost; (4) consistent with regulations, policies, and procedures of the recipient that are applied uniformly to both federally supported and other activities of the organization; (5) accorded consistent treatment as a direct or indirect cost; (6) determined in accordance with generally accepted accounting principles; and (7) not included as a cost in any other federally supported award (unless specifically authorized by statute).

For additional information on each, see the NIH Grants Policy Statement: 7 Cost Considerations 7.2 The Cost Principles."
Alteration and Renovation (A&R),Work that changes the interior arrangements or other physical characteristics of an existing facility or of installed equipment so that it can be used more effectively for its currently designated purpose or adapted to an alternative use to meet a programmatic requirement. See also definitions for Major A&R and Minor A&R.
Amendment (amended or revised applications),See Resubmission.
Ancillary Study,"An ancillary study is an adjunctive or supplemental study to an ongoing study. An ancillary study may or may not be a clinical trial. Determine whether an ancillary study is a clinical trial by answering the four questions that define NIH clinical trials based on the information about the ancillary study alone, regardless of the clinical trial status of the parent trial. An ancillary clinical trial is a trial for which the answer to the four questions is Yes .


	An ancillary clinical trial to a larger clinical trial may be considered an independent clinical trial if it includes an additional intervention to patients or a sub-population of patients within the larger clinical trial. An example of an ancillary study that is not a clinical trial could be research which involves analyses of stored samples collected in an ongoing clinical trial but no additional intervention to the human subjects/patients."
Animal Welfare Assurance,Document an institution and all performance sites involving animals in research must have on file with the Office of Laboratory Animal Welfare before a PHS Agency may award a grant or contract.
Animals in Research,"Any live, vertebrate animal used or intended for use in research, research training, experimentation, or biological testing or for related purposes. The generation of custom antibodies and animals obtained or euthanized for tissue harvest constitute activities involving vertebrate animals. To learn more about policies and guidance on the use of animals in PHS funded research, training, and testing, see the NIH Office of Laboratory Animal Welfare."
Announcement Type,"In a FOA, the announcement type field refers to whether the FOA is new or a reissue."
Annual Payback Activities Certification (APAC),"Annual Payback Activities Certifications (APACs) for PHS 6031-1 are notices used by Kirschstein-NRSA recipients to report on their payback activities annually, until their payback obligation is fulfilled."
AO,See Administrative Official.
AOR,See Authorized Organization Representative
APAC,See Annual Payback Activities Certification
Appeal,"An appeal is a written communication from a Program Director/Principal Investigator (PD/PI) and/or applicant institution that meets the following four criteria: 1) is received after issuance of the summary statement and up to 30 calendar days after the second level of peer review, 2) describes a flaw or perceived flaw in the review process for a particular application, 3) is based on one or more of four allowable issues (described below), and 4) displays concurrence from the Authorized Organization Representative (AOR)."
Applicable Clinical Trial,Applicable clinical trial is the term used in Title VIII of the Food and Drug Administration Amendments Act (FDAAA) of 2007 (P.L. 110-85) to designate the scope of clinical trials that may be subject to the registration and results reporting requirements in FDAAA.
Applicable Credit,"Those receipts that offset or reduce direct or indirect costs. Typical examples of such transactions include purchase discounts, rebates, or allowances; recoveries or indemnities on losses, insurance refunds; and adjustments of overpayments or erroneous charges."
Applicant,Organization or person who actively applies but has not yet been awarded a grant.
Application,"A request for financial support of a project or activity submitted to NIH on specified forms and in accordance with NIH instructions. (See NIH Grants Policy Statement: 2.3 Application Information and Processes for detailed information about the application process, including an explanation of the types of applications)."
Application Cycle,NIH accepts applications for most programs in three cycles. The applications received within a cycle are typically reviewed within the same council round. Many NIH Funding Opportunity Announcements are open for up to three years with standard due dates falling in each cycle.
Application Identification Numbers,"The application number identifies:


type of application (1)
	

activity code (R01)
	

organization to which it is assigned (AI)
	

		serial number assigned by the Center for Scientific Review (CSR) (183723),
	

		suffix showing the support year for the grant (-01)
	

		other information identifying a revision (S1), resubmission (A1), or a fellowship's institutional allowance. For contracts, the suffix is replaced by a modification number.
	

Sample Application Identification Number 1 R01 AI 183723 -01 A1 S1"
Application Submission System & Interface for Submission Tracking (ASSIST),The Application Submission System & Interface for Submission Tracking (ASSIST) is a web-based system used to prepare grant applications using the SF424 Research & Related form set and to submit electronically through Grants.gov to NIH and other participating agencies. See Preparing Your Application Using ASSIST.
Application Type Code,"A single-digit code identifying the type of application received and processed. Application type codes include the following:


	1=New


	2=Renewal


	3=Revision


	4=Extension


	5=Non-Competing Continuation


	6=Change of Organization Status (Successor-In-Interest)


	7=Change of Recipient or Training Institution


	8=Change of Institute or Division (Type 5 transfer to another NIH IC)

9=Change of Institute or Division (Type 2 transfer to another NIH IC)"
Application Viewing Window,"Once an error-free application is submitted through Grants.gov to eRA, the eRA system assembles an application image and posts it in the PD/PI's eRA Commons account. The PD/PI, delegated Assistants, Administrative Officials (AOs) and Signing Officials (SOs) have 2 business days to view the assembled application in eRA Commons - just as a reviewer would see it. The application viewing window is linked to the time of submission, not the due date. It begins the day after the assembled application image is posted in eRA Commons and excludes weekends and Federal holidays.



	Within the viewing window, an SO can Reject the application and stop it from moving further in the process. After the viewing window, the application automatically moves forward for further consideration and the submission process is complete."
Appropriation Act,The statute that provides the authority for Federal agencies to incur obligations to and make payments out of the U.S. treasury for specified purposes.
Approved Budget,"The financial expenditure plan for the grant-supported project or activity, including revisions approved by NIH as well as permissible revisions made by the grantee. The approved budget consists of Federal (grant) funds and, if required by the terms and conditions of the award, non-Federal participation in the form of matching or cost sharing. The approved budget specified in the Notice of Grant Award may be shown in detailed budget categories or as total costs without a categorical breakout. Expenditures charged to an approved budget that consists of both Federal and non-Federal shares are deemed to be borne by the grantee in the same proportion as the percentage of Federal/non-Federal participation in the overall budget."
AR,National Institute of Arthritis and Musculoskeletal and Skin Diseases
AREA,See Academic Research Enhancement Award.
ASSIST,See Application Submission System & Interface for Submission Tracking (ASSIST)
Assistance,"The award of money, property, or services to a recipient to accomplish a public purpose as authorized by Federal statute. Assistance relationships (e.g., grants) are expressed in less detail than are acquisition relationships (contracts), and responsibilities for ensuring performance rest largely with the recipient or are shared with the Government."
Assistant Role (ASST),In the NIH Commons the role designed to allow PIs to delegate certain responsibilities for data entry of grant information and upkeep of their personal profiles. The ASST does not have any other functions in the system.
ASST,See Assistant Role
Assurance,"A certification by an applicant, normally included with the application or State plan, indicating that the entity is in compliance with, or that it will abide by, a particular requirement if awarded a Federal grant."
AT,National Center for Complementary and Alternative Medicine
Audit Finding,Deficiencies which an auditor is required by 45 CFR 75.516(a) to report in the schedule of findings and questioned costs.
Audit Resolution,"The process of resolving audit findings, including those related to management and systems deficiencies and monetary findings (that is, questioned costs)."
Authorized Organization Representative (AOR),"The individual, named by the applicant organization, who is authorized to act for the applicant and to assume the obligations imposed by the Federal laws, regulations, requirements, and conditions that apply to grant applications or grant awards. This individual is equivalent to the signing official in the eRA Commons, i.e., holds the SO Role."
Average Programmatic Reduction,The dollar amount a grant award is reduced from the amount recommended by the study section (scientific review group). This is done so Institutes can maintain a sufficient number of grants in their portfolio and to combat inflation of grant costs.
Award,"The provision of funds by NIH, based on an approved application and budget or progress report, to an organizational entity or an individual to carry out a project or activity."
Award Type,See Application Types.
Awarded Direct Costs,See Direct Costs.
Awarded Indirect Costs,See Indirect Costs.
Awarded Total Costs,See Total Costs.
Awarding IC,"The NIH Institute/Center (IC) responsible for the award, administration, and monitoring of grant supported activities."
BAA,Broad Agency Announcement
BAFO,See Best and Final Offer
Basic Experimental Studies with Humans,"Studies that prospectively assign human participants to conditions (i.e., experimentally manipulate independent variables) and that assess biomedical or behavioral outcomes in humans for the purpose of understanding the fundamental aspects of phenomena without specific application towards processes or products in mind."
Basic Research,Systematic study directed toward greater knowledge or understanding of the fundamental aspects of phenomena and of observable facts without specific applications towards processes or products in mind. (CFR 272.3)
Bayh-Dole Act,"The Bayh-Dole Act of 1980 (Public Law 96-517; 35 U.S.C. 200-212), implemented by 37 CFR 401, affords grantees the right to elect title and retain ownership to inventions they develop with funding under an NIH grant award. Under the regulations, grantees are required to report all subject inventions to the awarding agency, as well as include an acknowledgement of federal support in any patents."
Best and Final Offer (BAFO),See Final Proposal Revision.
Bilateral Agreement,A general science agreement between the U.S. and a foreign country. Grant applications from institutions in these countries that have been recommended for approval by the scientific review group are given special funding consideration by Council.
Bioengineering Consortium,"The focus of bioengineering issues at the NIH which consists of senior-level representatives from each of the NIH Institutes, Centers, and Divisions plus representatives of other Federal Agencies concerned with biomedical research and development. Go to Bioengineering Consortium (BECON)."
Biomedical Research and Development Price Index (BRDPI),Measures real annual changes in the prices of items and services required for research and development (R&D) activities.
BRDPI,See Biomedical Research and Development Price Index
Bridge Awards,Bridge awards provide continued but limited interim support (bridge funding) for meritorious investigators who just miss the funding cutoff and have minimal support from other sources. The continued funding will permit the PD/PI additional time to strengthen a resubmission application. A Bridge award recipient usually will receive an R56 award for a single year. Investigators may not apply for R56 grants. Applications for conversion to an R56 will be selected by IC staff from reviewed applications that fall at or near the payline margins.
Budget,"The financial plan for the project or program that the Federal awarding agency or pass-through entity approves during the Federal award process or in subsequent amendments to the Federal award. It may include the Federal and non-Federal share or only the Federal share, as determined by the Federal awarding agency or pass through entity. The approved budget specified in the NoA may be shown in detailed budget categories or as total costs without a categorical breakout. Expenditures charged to an approved budget that consists of both Federal and non-Federal shares are deemed to be borne by the recipient in the same proportion as the percentage of Federal/non-Federal participation in the overall budget."
Budget Appropriation,See Appropriation Act.
Budget Mechanism,Identifies the sub-mechanism category of the award for reporting purposes.
Budget Period,The intervals of time (usually 12 months each) into which a project period is divided for budgetary and funding purposes.
CA,National Cancer Institute
CAN     ,Common Accounting Number
CAP,Commercialization Accelerator Program
Capital Assets,"Tangible or intangible assets used in operations having a useful life of more than one year which are capitalized in accordance with GAAP. Capital assets include: (1) Land, buildings (facilities), equipment, and intellectual property (including software) whether acquired by purchase, construction, manufacture, lease-purchase, exchange, or through capital leases; and (2) Additions, improvements, modifications, replacements, rearrangements, reinstallations, renovations or alterations to capital assets that materially increase their value or useful life (not ordinary repairs and maintenance)."
Capital Expenditure,"Expenditures to acquire capital assets or expenditures to make additions, improvements, modifications, replacements, rearrangements, reinstallations, renovations, or alterations to capital assets that materially increase their value or useful life. (See NIH Grants Policy Statement: 8 Administrative Requirements 8.1 Changes in Project and Budget 8.1.2 Prior Approval Requirements-Capital Expenditures)."
"Career Development Awards (CDA, K Series)","Awards for candidates who wish to further develop their careers in biomedical, behavioral and clinical research. Applicants are generally required to hold a research or health professional doctoral degree or its equivalent; eligibility for some CDAs is limited to only applicants with health professional doctoral degrees. See Career Development Awards."
Carryover,"Unobligated Federal funds remaining at the end of any budget period that, with the approval of the GMO or under an automatic authority, may be carried forward to another budget period to cover allowable costs of that budget period (whether as an offset or additional authorization). Obligated, but unliquidated, funds are not considered carryover."
Catalog of Federal Domestic Assistance (CFDA),"A database which helps the Federal Government track all programs it has domestically funded. Federal programs are assigned a number in the Catalog of Federal Domestic Assistance (CFDA) which is referred to as the ""CFDA number."""
Catalogue of Federal Domestic Assistance (CFDA) Number,The number assigned to a Federal program in the CFDA.
CC,Clinical Center
CCR,See Central Contractor Registration Database.
CDA,See Career Development Awards
CDA,See Career Development Awards.
Center for Scientific Review (CSR) ,"The NIH component responsible for the receipt and referral of grant applications to the PHS, as well as the initial review for scientific merit of most applications submitted to the NIH."
Center Grants,"Center grants are awarded to institutions on behalf of program directors and groups of collaborating investigators. They support long-term, multi-disciplinary programs of research and development."
Central Contractor Registration (CCR) Database,"As of July 2012, Central Contractor Registry (CCR) has been replaced with the System for Awards Management (SAM).
See System for Award Management (SAM)"
CFDA,See Catalog of Federal Domestic Assistance
CFDA Program Title,The title of the program under which the Federal award was funded in the CFDA.
CFR,See Code of Federal Regulations
Change in Scope,An activity whereby the objectives or specific aims identified in the approved grant application are significantly changed by the recipient after award. GMO prior approval is required for a change in scope to be allowable under an award. See NIH Grants Policy Statement: 8 Administrative Requirements 8.1 Changes in Project and Budget 8.1.2 Prior Approval Requirements 8.1.2.5 Change of Scope for additional information.
Change of PD/PI,"A process, usually initiated by the recipient, whereby the federally approved PD/PI is replaced by another individual, with the approval of the GMO."
Change of Recipient Organization,Transfer of the legal and administrative responsibility for a grant-supported project or activity from one legal entity to another before the completion date of the approved project period (competitive segment).
Chartered Advisory Committee,"Any committee formed for advisory purposes composed not wholly of Federal officials. Under the Federal Advisory Committee Act, standing committees must be chartered, i.e., approved by their parent Agency in collaboration with the U.S. General Services Administration to ensure a properly balanced representation (geographical, women, minorities) and meet other legal requirements"
Chief Grants Management Officer (CGMO),"The Grants Management Officer within an awarding agency who is the principal Grants Officer in the agency. The Chief Grants Management Officer provides leadership to an organizational component that is responsible for the business and fiscal management of an IC's grant portfolio. Generally, the CGMO will have the authority to appoint and exercise line authority over one or more GMOs. At NIH each awarding component has a CGMO."
Child,"For the purposes of the NIH Policy and Guidelines on the Inclusion of Individuals Across the Lifespan as Participants in Research Involving Human Subjects, a child is defined as an individual under the age of 18 years. The intent of the NIH policy is to provide the opportunity for individuals, including children and older adults, to participate in research studies when there is a sound scientific rationale for including them and participation is appropriate under existing Federal guidelines. Thus, children must be included in NIH-conducted or supported human subjects research unless there are scientific or ethical reasons not to include them.


	For the purpose of providing consent for research participation, the definition of a child stated within the DHHS Regulations (45 CFR part 46, Subpart D, Sec. 402) should be applied. Please see the NIH Human Subjects website or 45 CFR 46, Subpart D for more information."
Citation ID,"The reference number used when citing papers falling under the NIH Public Access Policy on applications, proposals, or progress reports. The citation ID will be a PMCID or an alternative when the PMCID has not been assigned yet. See Citation Methods."
Claim,"Depending on the context, either: (1) A written demand or written assertion by one of the parties to a Federal award seeking as a matter of right: (i) The payment of money in a sum certain; (ii) The adjustment or interpretation of the terms and conditions of the Federal award; or (iii) Other relief arising under or relating to a Federal award. (2) A request for payment that is not in dispute when submitted."
Clinical Research,"Research with human subjects that is:


	1) Patient-oriented research. Research conducted with human subjects (or on material of human origin such as tissues, specimens, and cognitive phenomena) for which an investigator (or colleague) directly interacts with human subjects. Excluded from this definition are in vitro studies that utilize human tissues that cannot be linked to a living individual. It includes: (a) mechanisms of human disease, (b), therapeutic interventions, (c) clinical trials, or (d) development of new technologies.


	2) Epidemiological and behavioral studies.


	3) Outcomes research and health services research


	Studies falling under 45 CFR 46.101(b) (4) (Exemption 4) are not considered clinical research by this definition."
Clinical Trial,"A research study in which one or more human subjects are prospectively assigned to one or more interventions (which may include placebo or other control) to evaluate the effects of those interventions on health-related biomedical or behavioral outcomes.


	See Common Rule definition of research at 45 CFR 46.102(d)


	See Common Rule definition of human subject at 45 CFR 46.102(f)


	The term ""prospectively assigned"" refers to a pre-defined process (e.g., randomization) specified in an approved protocol that stipulates the assignment of research subjects (individually or in clusters) to one or more arms (e.g., intervention, placebo or other control) of the clinical trial.


	An intervention is defined as a manipulation of the subject or subject's environment for the purpose of modifying one or more health-related processes and/or endpoints. Examples include, but are not limited, to: drugs/small molecules/compounds, biologics, devices; procedures (e.g., surgical techniques); delivery systems (e.g., telemedicine, face-to-face); strategies to change health-related behavior (e.g., diet, cognitive therapy, exercise, development of new habits); and, treatment, prevention, and diagnostic strategies.


	A health-related biomedical or behavioral outcome is defined as the pre-specified effect of an intervention on the study subjects. Examples include positive or negative changes to physiological or biological parameters (e.g., improvement of lung capacity, gene expression); psychological or neurodevelopmental parameters (e.g., mood management intervention for smokers; reading comprehension and/or information retention); disease processes; health-related behavior; and, well-being or quality of life


	Biomedical clinical trials of an experimental drug, treatment, device, or behavioral intervention may proceed through four phases:


Phase I. Tests a new biomedical intervention in a small group of people (e.g. 20-80) for the first time to determine efficacy and evaluate safety (e.g., determine a safe dosage range and identify side effects).


Phase II. Study the biomedical or behavioral intervention in a larger group of people (several hundred) to determine efficacy and further evaluate safety.


Phase III. Study to determine efficacy of the biomedical or behavioral intervention in large groups of people (from several hundred to several thousand) by comparing the intervention to other standard or experimental interventions as well as to monitor adverse effects, and to collect information that will allow the interventions to be used safely.


Phase IV. Studies conducted after the intervention has been marketed. These studies are designed to monitor the effectiveness of the approved intervention in the general population and to collect information about any adverse effects associated with widespread use."
Clinical Trial Research Experience,"The involvement of a student, postdoctorate, or early career faculty member in a clinical trial led by their mentor or other investigator, with the goal of obtaining clinical trial experience relevant to their research interests and career goals. A clinical trial research experience is one in which the participant is supervised by a more experienced investigator and is intended to prepare the participant to potentially lead an independent clinical trial in the future. The applicant can be part of the clinical trial team and can use the data generated during the clinical trial research experience in his/her proposed research project. NIH expects the mentor to assume overall responsibility of the trial including registering and reporting in clinicaltrials.gov and obtaining IRB approval."
Close Date or Closing Date,The Close Date of a funding opportunity announcement is the date the funding agency lists in Grants.gov as the last submission due date for the announcement.
Closeout ,The process by which the Federal awarding agency or pass-through entity determines that all applicable administrative actions and all required work of the Federal award have been completed and takes actions as described in 45 CFR 75.381.
Cluster of Programs,"A grouping of closely related programs that share common compliance requirements. The types of clusters of programs are research and development (R&D), student financial aid (SFA), and other clusters. ""Other clusters"" are as defined by OMB in the compliance supplement or as designated by a state for Federal awards the state provides to its sub-recipients that meet the definition of a cluster of programs. When designating an ""other cluster,"" a state must identify the Federal awards included in the cluster and advise the sub-recipients of compliance requirements applicable to the cluster, consistent with 45 CFR 75.352(a). A cluster of programs must be considered as one program for determining major programs, as described in 45 CFR 75.518, and, with the exception of R&D as described in 45 CFR 75.501(c), whether a program-specific audit may be elected."
CMO,See Committee Management Officer
Co-funding,Funding arrangement through which two or more Institutes or Centers share in the funding of a grant.
Co-Investigator ,"An individual involved with the PD/PI in the scientific development or execution of a project. The Co-Investigator (collaborator) may be employed by, or be affiliated with, the applicant/recipient organization or another organization participating in the project under a consortium agreement. A Co-Investigator typically devotes a specified percentage of time to the project and is considered senior/key personnel. The designation of a Co-Investigator, if applicable, does not affect the PD/PI's roles and responsibilities as specified in the NIH Grants Policy Statement, nor is it a role implying multiple PD/PI."
Code of Federal Regulations (CFR),The codified regulations of the Federal government based on the final agency regulations published in the Federal Register.
Coded  ,"With respect to private information or human biological specimens, coded means that:


		identifying information (such as name or social security number) that would enable the investigator to readily ascertain the identity of the individual to whom the private information or specimens pertain has been replaced with a number, letter, symbol or combination thereof (i.e., the code); and
	

		a key to decipher the code exists, enabling linkage of the identifying information with the private information or specimens.
	


	Research that involves only coded private information/data or coded human biological specimens may not constitute human subjects research under the HHS human subjects regulations (45 CFR 46) if:



		the specimens and/or information/data are not obtained from an interaction/intervention with the subject specifically for the research; and
	

		the investigator(s) cannot readily ascertain the identity of the individual(s) to whom the coded private information or specimens pertain (e.g., the researcher's access to subject identities is prohibited).
	


	Individuals who provide coded information or specimens for proposed research and who also collaborate on the research involving such information or specimens are considered to be involved in the conduct of human subject research.



	(See the following guidance from the Office for Human Research Protections (OHRP) for additional information and examples: http://www.hhs.gov/ohrp/policy/cdebiol.html.)"
COFAR,See Council on Financial Assistance Reform
Cognizant Agency,"The Federal agency which, on behalf of all Federal agencies, is responsible for: reviewing, negotiating, and approving cost allocation plans, indirect cost rate and similar rates; monitoring non-Federal audit reports; conducting Federal audits as necessary; and resolving cross-cutting audit findings. The cognizant agency under the applicable cost principles and under OMB Circular A-133 may be different for a given recipient."
Cognizant Agency for Audit,The Federal agency designated to carry out the responsibilities described in 45 CFR 75.513(a). The cognizant agency for audit is not necessarily the same as the cognizant agency for indirect costs. A list of cognizant agencies for audit may be found at the FAC Web site.
Cognizant Agency for Indirect Costs,"The Federal agency responsible for reviewing, negotiating, and approving cost allocation plans or indirect cost proposals developed under this part on behalf of all Federal agencies. The cognizant agency for indirect cost is not necessarily the same as the cognizant agency for audit. For assignments of cognizant agencies see the following: (1) For IHEs: 45 CFR Pt 75, Appendix III, C.11. (2) For nonprofit organizations: 45 CFR Pt 75, Appendix IV, C.2. (3) For state and local governments: 45 CFR Pt 75, Appendix V, F.1. (4) For Indian tribes: 45 CFR Pt 75, Appendix VII, D.1."
Commercial Organization,"An organization, institution, corporation, or other legal entity, including, but not limited to, partnerships, sole proprietorships, and limited liability companies, that is organized or operated for the profit or benefit of its shareholders or other owners. The term includes small and large businesses and is used interchangeably with ""for-profit organization."""
Commercialization      ,"The process of developing products, processes, technologies, or services and the production and delivery (whether by the originating party or others) of the products, processes, technologies, or services for sale to or use by the Federal government or commercial markets."
Commitment Base,"Funds used for non-competing (type 5 or ongoing awards), typically 70-80 percent of the dollars spent for research project grants."
Committee Management Officer (CMO),"NIH CMO: The NIH Committee Management Officer is responsible for managing the implementation of the Federal Advisory Committee Act. The NIH CMO is responsible for developing and managing all committee management policy and procedure development for dissemination to all NIH IC staff as well as to Federal advisory committee members. The CMO reviews and finalizes all advisory committee charters and nomination slates for approval by the Secretary, DHHS or the Director, NIH and insures an accurate presentation of NIH committee activity on a public website managed by the General Services Administration.

I/C CMO: Each IC has a CMO or uses the resources of a service center to support the committee management function within the Institute or Center. The IC CMO is responsible for developing charters for committees, preparing nomination and appointment documents for membership to committees, providing technical assistance to committee members, providing initial review of conflict of interest disclosures and other responsibilities."
Common Fund,"The NIH Common Fund supports cross-cutting, trans-NIH programs, including those referred to as NIH Roadmap programs. See The NIH Common Fund."
Commons,See eRA Commons.
Companion FOAs,A set of FOAs that share a unified theme or initiative. These FOAs may use different activity codes. They are typically (but not always) published concurrently.
Competing Applications,New or renewal applications that must undergo initial peer review.
Competing Continuation,See Renewal Application.
Competing Research Project Grant,"An application for a Research Project Grant requiring peer review, as opposed to a non-competing continuation."
Competitive Range,A contracting term denoting a group of proposals considered acceptable by the initial peer review group which are potential candidates for an award.
Competitive Revision,A request for (or the award of) additional funds during a current project period to support new or additional activities which are not identified in the current award that reflect an expansion of the scope of the grant-approved activities. Competitive revisions require peer review.
Competitive Segment,"The initial project period recommended for support (in general, up to 5 years) or each extension of a project period resulting from a renewal award."
Compliance Supplement,Appendix XI to 45 CFR 75 (previously known as the Circular A-133 Compliance Supplement).
Component,"For the purposes of applications and progress reports, a component is a distinct, reviewable part of a multi-project application or progress report for which there is a business need to gather detailed information identified in the funding opportunity announcement (FOA). Components typically include general information (component organization, project period, project title, etc.), performance sites, personnel, and budget. The FOA defines the construction and naming convention for the application; the funded application defines the construction and naming convention for the progress report. Components may also be referred to as ""cores"" or ""projects."" Note, for RPPR Question G.9, the term ""foreign component"" is distinct from ""component"" as defined here. However, a ""foreign component"" may also be a ""component"" in the RPPR. (See definition of foreign component for more information)."
Component Type,"A 'component type' is a named, agency-defined collection of forms that may be repeated within a multi-project grant application.
For example, a specific multi-project application includes one Administrative Core, two Core and three Project components. In this example, the application includes 6 components using three different component types (Administrative Core, Core, Project).
'Overall' is a special component type, used by the applicant organization, with a single occurrence in every multi-project grant application. The Overall component typically contains information about the application as a whole and how the various other components fit together."
Computing Devices,"Machines used to acquire, store, analyze, process, and publish data and other information electronically, including accessories (or ""peripherals') for printing, transmitting and receiving, or storing electronic information. See also ""supplies"" and ""information technology systems."""
Concept,"The earliest planning stage of an initiative [request for applications (RFA), request for proposals (RFP), or program announcement (PA)]. Concepts are brought before the Advisory Council for concept clearance. Not all concepts cleared by Council are published as initiatives depending on the availability of funds."
